gene	deathrate	p.value	q.value	SD	low-confidence interval	upper-confidence interval	tag
YJL218W	-0.002352748	0.00049209	0.008327079	0.00029399	-0.003108472	-0.001597024	down
YLR422W	-0.002344301	0.001265014	0.012348602	0.000359319	-0.003267959	-0.001420643	down
YNL191W	-0.002344257	0.011068755	0.02986418	0.000596482	-0.003877562	-0.000810951	up
YLL032C	-0.002343906	0.004070564	0.018664442	0.000467868	-0.003546599	-0.001141214	up
YNL143C	-0.002343332	0.484820519	0.268101575	0.003107855	-0.010332328	0.005645663	down
YPK1	-0.002343065	0.120531188	0.109909147	0.001253486	-0.005565252	0.000879122	up
VID28	-0.002342384	0.007238474	0.024301739	0.000536311	-0.003721016	-0.000963752	down
ICL2	-0.002341389	0.409765696	0.241266339	0.002603901	-0.00903493	0.004352152	down
YIL168W	-0.002338737	0.000577814	0.008893833	0.000302443	-0.003116192	-0.001561281	down
SGE1	-0.002337318	0.006335717	0.023146947	0.00051815	-0.003669266	-0.001005371	down
RPS12	-0.002335792	0.005734376	0.022451654	0.000505561	-0.003635377	-0.001036206	up
CDC23	-0.002330603	0.034753512	0.053490465	0.000810387	-0.004413768	-0.000247438	down
YIL029C	-0.002329999	0.042820257	0.06026909	0.000863189	-0.004548896	-0.000111101	up
SAK1	-0.002322559	0.000118711	0.006073812	0.000215298	-0.002876	-0.001769118	down
YKR018C	-0.002319065	0.000129922	0.006073812	0.000219037	-0.002882116	-0.001756014	up
SAM37	-0.002308807	0.049379371	0.065392866	0.000894581	-0.004608402	-9.21E-06	up
GPH1	-0.002301587	0.000167156	0.006073812	0.000229085	-0.002890469	-0.001712706	down
YKR023W	-0.002295832	0.041249415	0.059280796	0.000840771	-0.004457101	-0.000134562	up
RAV2	-0.002293925	0.010742942	0.029551178	0.000579275	-0.003783	-0.00080485	down
AXL1	-0.0022936	0.550913966	0.289623222	0.003589086	-0.011519639	0.006932439	down
YEN1	-0.002292411	0.007038631	0.023932527	0.000521304	-0.003632466	-0.000952355	down
LAA1	-0.002291079	0.540032521	0.286145717	0.003485558	-0.01125099	0.006668832	down
YIL158W	-0.002282182	0.024184373	0.044898862	0.000714751	-0.004119509	-0.000444856	down
